cleaned_text,predicted_sentiment
shep nope really want play aswell,positive
alright party success fun,positive
well use tweet push make go shop time im back hopefully,neutral
eleni love,positive
wooow havent charged ipod touch day today still alive thats coolio,positive
wanted say positivity doin good change wont regret forsure,positive
lol trashed kitchen,positive
happy mother day hug,positive
effing tired httpbitlyezfz,negative
mean famous congrats,positive
always come money least rotten law average,negative
alone still watching tww eating italian chocolate solving logic puzzle,neutral
hard tell think im right hope,negative
always wake one minute alarm scheduled go,neutral
kinda headache,neutral
mcc bye scotty im gonna miss ily,neutral
doesnt work iphone yet love simplicity need able sort task iphone useful,positive
gamefan thanks love misery business paramore great band,positive
sorry im using tweetdeck letting tweet today,negative
oh today suck,neutral
bahaha loook like kung fu panda wake morning,neutral
nearly finished angel demon awesome book feel lame reading,positive
would easy user manual enough claim bike,positive
im garden making picture weed sweep weather nice see lter people,positive
school victoria bryan school soon sadd,neutral
tired,negative
yw get really hot middle summer like right perfect less hour away,positive
youre superstar doesnt mean,negative
sure every office men woman capacity realize shut unholy christ,positive
tired ready bed really mood salt pepper chicken wing noodle money chinese,negative
sometimes forget boy feeling,neutral
hopefully ill get see htb next week la really soon cant wait,negative
thats pretty bad quality probably worst pic u posted till date,negative
awhhh age doesnt matter awesome lady,positive
thanks elephant look magnificent miss due stupid restriction g pleease cheap,positive
oh please dont,neutral
sad best friend selfish heartless exclude life completelyim sad,negative
still shout spider,neutral
everyone say,neutral
im also plurk try,neutral
webcam hoepfner burgfest karlsruhe automatic reload fail httpbitlyvdtvf,negative
hiatus like really long boo,negative
ohh realized still talking b like dat time,neutral
wow mosquito backyard suck coughing half death middle night keeping cassidy awake,negative
tiesto vicky park excellent,positive
dunno man bout wendys mmmmmm dont gots htown,neutral
want know audition mander text orreply please,neutral
sometimes long weekend need good conversation thanks bro,positive
hammond way home night london lovely working weekend monday weather nice x,positive
seems cruel condition,negative
gotta buy onesies besties lol ah yea club grand ol time,positive
praying humble always dangerous answer god give grace,negative
seems brought little sikaflex caulk home hair,negative
hope better weekend,positive
la unified summer school drastically cut due ca budget cut sad,negative
thats relief feel better knowing hereditary fun,positive
go winchester sister doesnt go bad time x,negative
dont see could possibly another choice,neutral
return sideways med bill,neutral
carter video private,neutral
wife lost sprint blackberry bike ride anyone extra bb laying around retweet,neutral
doesnt show people conservative blackjack,neutral
bad day history test tommorrow want go sun play,negative
fun tonight,positive
bought little plastic personal wine bottle jewel perfect rooftop boozin wish didnt wait long,positive
wishing happy mother day,positive
haha sorry past bedtime,negative
wats world x basketball game best shooter team idk shooter existes lol understand haha,positive
awww wee gril britain got talent,positive
hello,neutral
hurt bring joy see cry know love anything yet u break heart everyday,positive
omg amazing twist crazy awesome movie,positive
yep open sunday hour tho,neutral
eating hawain pizza breakfast bit cold,negative
haha love way u put lift foot ground spin u around make u crazier,positive
today soo fun happy bday chrissy,positive
michael scofiled noooooo hate writer director n production,negative
noooooooo miss sooooooo much gaah,positive
week funi hope next week even better nyc day,positive
love rain im golfing,positive
doh im inside job lolzor,neutral
favourite song tonight cheer tokyo police club,neutral
tweettttt,neutral
say bad trip angry httpplurkcompwxshi,negative
tired work hate closing eek smile today aloha kitchen yum,negative
bad,negative
sorry sounded like year old texting tried tweetshrinking built tweed deck another cool feature,negative
inovera hi jakki thanks hug right back ya,positive
pm hit school tomorrow ahaha ill stay til think,negative
hi ok hope head come cloud love meadowbank shopping center,positive
next show upcoming one really want see guy,positive
yeah good startled,positive
yeah doesnt suck working nano take music sad,negative
installing new hard drive gotta redo everything though,negative
cant fall asleep,neutral
ive woken,neutral
trying watch lost online annoying slowthe internet lost,negative
hahahaha havent friend since sunday im lame,negative
manchester wayyyyy busy warm today also,positive
screwed sat u,neutral
stu actually severly sunburntit hurt,neutral
wow thats really sweet im assuming blogrelated thanks much,positive
soooo great loved good live haha poured u though make much better,positive
see adriana month,neutral
he mess ilove,negative
gdnight tweeter night sleep tight dont steal blanket otay love yous,positive
blast im lmhr tomorrow sam running could see could join next week,neutral
want see maniac come post,neutral
ugh knee injury except mine infected cut hurt like hell,neutral
man test playing cod day till summer,neutral
yeah know feeling good morning mate,positive
ooh cutting like,negative
esmecullen im taking million song blipfm station thing sorry,negative
apartment emptying day sad last week,negative
know text itll go twitter set setting fb post text,neutral
ha fun think ill rewatch part season todayin preparation morrow night,negative
fun twitpic purple hair,positive
finally mastered art uploading photo said twitter longer assume im heffer,neutral
oh friend know youre retract last statement thennnnnnnn,neutral
kittykat hello new follower haha ya,positive
home sweet home carrie underwood make sadd,positive
saw squirrel get hit car walking bart morningwondering anything could done,neutral
tried audioboo recording distorted due high volume ob,positive
sometimes hate thats normal dont worry bout,negative
ill alright whip may,negative
haha came home long night saw tweetie khayyam wakil usually dont announce lol,positive
please,neutral
distel maybe u natural ability language envy u,positive
happy mother day x go docker,positive
got home big shop totally munched starving im weigh morning oops,neutral
yea running hour let test,neutral
got home dinner mommy new grandma id rather hollywood right,positive
nomatter much sleep still tired,negative
fann coming sowwy,neutral
myspace mobile free u credit cause liers,positive
enjoying new car,positive
wish zak wuld trust enough give bac necklace want back think ill cut httpplurkcompxqkb,negative
get nice food mam bay likely room tonight b isnt mingin burger kitchen,positive
working,neutral
didnt get job keep applying schooli want teach,neutral
company policy last two place ive worked,neutral
would believe im done homework rest life,neutral
ok thats true plus youre insulting saying im insulting ive trying cheer butnada,negative
summer clothes panic overi see rain cloud still going swimming thoughim feeling holiday mood,neutral
music soothes soul,neutral
wish chicago,neutral
u planning cardio hr thats reasonable whatcha last night,positive
nk wouldnt call cool dangerous reckon fit stupid category,negative
brian thats follower count weep know buzz champion,neutral
found mad men season delayed august,negative
read message u stephanies greensborolove miss home,neutral
new twitter,positive
he sleep mr night peep,neutral
hallooo bayernhallooo stau,neutral
hate late,negative
mounce yes last way past bedtime,negative
nope worry possibility im worried googs design personal taste actually,neutral
httptwitpiccomfcj resort wearing today cause havent finished laundry lol,positive
supposeddd hang al mommy wont let dooo blah hahaha,positive
late news much needed zzzzzzzgoodnight tweet,negative
drive safe linz give u pit stop update,positive
gadget show today today better,positive
bad luck oh well next time lucky,negative
trainr thanks link made smile,positive
id like put fruity article website youll permit,neutral
song suggestion anything veronica first album secret life would good choice,positive
blip misconstrued q last night convo song really love rock morning,positive
haha wish could look like little boy,positive
bored,negative
cant wait long,negative
stuck finger throat bunch bump tongue throat,neutral
wishing naptime,neutral
httptwitpiccomxlm hate parked car get hit,negative
fee pain lady ga ga drive insane oh dear god song head,negative
bring food go please,neutral
supernatural httptwitpiccoml liked old ruby best,positive
omg mom called im late he gone,negative
oh still hasnt got around starting,neutral
didnt make cousin yacht convention hope doesnt get upset hope,neutral
broken leg comment please,negative
upshot want hunt uhh well wish yall best luck tweeps,positive
oh said sellout fluke turn projector broken still think film bloody good time tho,negative
decided id probably forget pocket sit accident,neutral
sound interesting,positive
awww thinking lot glad enjoyed,positive
great night,positive
shantz heyy shantell twitter cool thats guess followed britney spear followed back,positive
saddest celeb story week httpbitlyhph,neutral
hate going miss tweet weekend,negative
ive week toobut biology exam revise bone time limited,negative
whoa ive got go bed night,neutral
yes lol thats good one remeber bottom always top,positive
happy mother day baby mommasss rofl,positive
occured tonight cheris prom nighti suppose go mile make kind difficult,positive
aw tear feel special da family haha thanks girl love yal,positive
make sure watch hd,positive
overthought tying shoe couldnt figure,neutral
richelle mead succubus bluesfabulous read entertaining lot fun interesting next please,positive
prettty goooooooood going daaaaaancing mo havnt studied much math,positive
car broken,negative
lot noisy peep outside,neutral
wockeez wanna go wont im sure show great,positive
cnews wasnt bad expected could done better today great show,positive
love comeback stay tuned fellow follow people though youll turn get follower,positive
hey im chillin right gettin ready school mohawk kidd,positive
momma comin night morrow tennis day pnar yuppie,neutral
cant even call belgium suck,neutral
haha yes im jealous dont money,positive
hello hows life side screen,neutral
ummm sure miss yall alot think know meant,positive
chillaxin busy bankholiday hope everbody gd wkend holiday day,positive
lost game time today day history lostthegame blame,negative
listening varsity fanclub,neutral
going help lancey cook,neutral
lol blow kiss u catch daddy neways im chillin hun u see u early u sleep,positive
missing mother day happy mother day,positive
hey lady coming canada fall id love see concert time itll st time,positive
avoided cinder block safe ny area dantas porky upset beavs gone,positive
downloaded music hour love happens,positive
rachel allen date bar easy make httptwitpiccomjas,positive
goooosh someone payed lastfm subscription,neutral
hope weekend fabulous anything interesting,positive
ah finally home comfy bed goodnight,neutral
anais feel reeeally bad sorry,negative
guest,neutral
pffftt know like stay busy im awesome soberdang,positive
ya friend type much,positive
day,neutral
teamgreen marriage course running either bank holiday may back running next week,neutral
cant,neutral
ferman thats weak facebook fail,negative
happy finally may indy horror yet still remain held captive indys spirit,positive
gonna eat something feel horrid need hug,neutral
hell raining hate rain,negative
hey polka dot black dress glam mobile twitter bit mo,negative
traumatized saddened baby squirells found abandoned sidewalk,neutral
philosophical mood tonight wandering round dark,negative
oh top gear uk love thee,positive
got back carlton greenville benz getting serviced time make money think ill make sale call,negative
playing window rc,neutral
didnt win lammy last night happy scott sherman walked foot bea today,positive
wow constantly ranting love genghis grill never colorado,positive
doente,neutral
ever met guy thatv everything want need never really went w gnite daddy,negative
ran hair first spiderweb full baby spidersi almost set hair fire get rid almost,positive
movie tym sad cry nonstop,negative
well actually larin name model besides sleeping crawling etc,neutral
yay good enjoy break probably need hectic weekend take care hun xxxx,positive
um mr deadly sir please follow twitter,negative
likee lott lott think really hot hot good night,positive
well tomorrow miss,neutral
finally gave twitter try find sooo popular hope wont hooked,positive
thanks made morning,positive
gonna go home try take nap emotionally exhausted,negative
wearing exactly clothes used wear canada beanie touque ahh brings back memory miss snow,positive
well im hving another one today yey,neutral
love flock ubuntu,positive
httptwitpiccomwsue yeah well thanks blush,positive
dont want leave secretly know australia twenty time better america,positive
talk creator yesterday date public release developer,neutral
love metal gear solid valkyria chronicle,positive
thats okay didnt want watch shelby anyway,positive
must missed sure ill make,neutral
wh correspondants dinner rocked wanda sykes hilarious obama wasnt bad happy mother day mom,positive
home marco island missing girl alreadyback work,negative
ive realised follower yay,neutral
sorry missed,negative
say cheese camera throw western mass gang sign cool,positive
yeeeeeessss cant wait bad cant drink,negative
sitting homeneed pricing garage sale itemsbut help boring,negative
dont associate fake ass,negative
gate also guttedthe end nigh x,neutral
happy mommy day,positive
park slope brooklyn working bust photoshoot exciting fever tonsil size golfballs,positive
sure hope,positive
he awesome worked he good friend,positive
got new follower yesterday yay need til,positive
wow seems like lifetime since herenever change talktalk home phone n broadband workin ovum week,positive
heyy ur bdayhappy birthday,neutral
feel like princess love lingerie party,positive
miss,neutral
way work,neutral
gone mm plug help said id go maximum still want stretch,neutral
good morning tweeties today rested richmond ready hit beach,positive
tatteddddd,neutral
thats good day,positive
ill bed stomach killing,negative
hall aint answer call thought homies,neutral
going buffalo wild wing meet best friend havent seen forever bad cant eat food,positive
yea yea im torture stanky leg marathonima dance hr til cant mo,neutral
work,neutral
awsome thanks jocant wait,positive
resistance futile needed pretties knit,neutral
impressed might go away complain much x,positive
month end im till,neutral
sick week still feeling well cant go lena cookout gunna spend time fam,negative
there fricken prisnor trans outside r hotel far,positive
cant believe venus lost real shame smh think im getting sick week doesnt look like wknd gona better,negative
bye great time whisked away,positive
door look naked make room feel bigger though,neutral
jamies free view dead,positive
going panahra dinner miss guy,neutral
familiarsorry youre feeling way,neutral
seriously mum make eat yeah weird eating habit eating day really,negative
tell grandmother say hello,neutral
hubby went pick fringe comic today store work store business comix houston web,positive
fun read thanks brit make thing interesting funny whittled saint day four httpffimzgfk,positive
thanks new follower,positive
awesome fruit vegetable juice opening lam noodle httptinyurlcomrc,positive
yes liked much wasnt even cheesy,positive
need read fic lost,neutral
cheer id like thank zbrush making possible,neutral
wgn chicago used calm airing idea last day changed programing soundbite shouting,positive
yaaaawwwwnnnn thx bank holiday let see today prepared u,neutral
avenue love website wish lived closer sample cupcakey treat,positive
mmm thanks u get stoned eat thats cool,positive
heyheyheyheyehyeyyyyyyyyyyyyyyyy noo tokio hotel tshirts im friad omg shame,neutral
happy mother day,positive
check song time lose wwwmyspacecomflownyce youll enjoy promise,positive
hate ac doesnt work hot,negative
happy mother day mom,positive
ekkkthats ruffhope safe flight good meeting,positive
talking phone paul,neutral
really nice smoothy baulko shop,positive
enjoying lazying around eating rose chocolate x,positive
welcome,positive
haha chocolate always knew heart stomach wait till try truffle,positive
frustrated im stuck home without transportation global god conference ahh,negative
hating weather ugh,neutral
argh noo missed killer wossy suck missed brandon total failure anyone know repeated must investigate,negative
lol feel like drunk right,positive
know nd torrent file guessing u ghmettallica christine brought today p,neutral
best ib exam carl hope dont find difficult go well,positive
got ur back baby much love ya,positive
packing leaving inlaws house heading home sweet home nice weekend back work hour,positive
oh poor bear nightmare wrestled huge snake,positive
couldnt true like ur momma style,positive
cant go tonight cait,neutral
hard feeling hope like say think agree,negative
uuuugh hate everything,negative
aaaagh aircon working office,neutral
ha ha ha know love love,positive
yeah think depends youre least im getting free ill miss sk though,negative
ive got nothing witty tweet,positive
headache gonethank godtime tea think,neutral
sydney twitter know photography run also popular photography blog,positive
haha sometimes mobile make u slave advantage,positive
elaines online mommy give good advice,positive
wishing could go soco go climb instead im stuck work weekend,neutral
im feeling like ish wanna go home go mimis,neutral
delayed flight san diego la vega delayed flight feel sooooo depressing,negative
saddens youre youtube changed like every youtube kid used different,neutral
lol well thank,positive
loving life,positive
noticed wellwood teeth tonight thats nice,positive
happy mother day everyone,positive
today fun,positive
thanks recommendation following,positive
thanks assignment im work today,positive
business pleasure keep eye anything youre missing moondog concert tomorrow night,negative
kudai pop rock band chile last one taking stage tonight,neutral
back home great time,positive
loving new hr monitor,positive
oh matey get ill would bit mean suzi calling chicken scab youre,negative
belly ache,neutral
thinking new oh yes btw bankroll stay bit yesterday wont whine bad beat,negative
nice cant ever get ex,positive
u ur dad losing mentaly dosent remeber,neutral
got new ipod life good,positive
really even little bit pane,positive
missing mr mcfox,negative
alright back twitter decompression happy monday folk whats good word,positive
ok shopping far fun unpacking bag,positive
oo thats cool dang ihave clean room lol good luck wthose job gurl,positive
daaaaang sold,neutral
predicted feel lyk gahh hate bein ill wrk tweet lata,negative
btw ian watkins stopped following wee bit pissed,neutral
going workout swin fun,positive
like n tha dj comp hella wack gud dj got free gud,positive
anniemay omg fair,positive
didnt mind movie may im big fangirl,neutral
really ought pay attention phone tweet sure moives better,positive
gave cable tough economic time either cable shoe know cable lost,negative
star trek pretty much rocked life oh wait rock life,positive
would live across country,positive
twee tweetlol,neutral
plane ticket expensive,negative
itunes lost song,neutral
looool ana vote ag ele yeleni taqaod,neutral
ive gotten cold every time ive flown somewhere hr away past year hope back poolon bike next week,negative
going doctor scared,neutral
working cant wait till funeral monday,neutral
mine hayley great,positive
aston welcome twitter let know question would love help,positive
hi anyone,neutral
saw tues last niiiighht amazzzing didnt even notice forgetting wordddss,neutral
cant wait home let sun shine warm frozen bone please,positive
think tonight couldnt gone perfect,positive
travesty people said theyd think involving joss whedon,neutral
picture bliss jpeg format sorry message board terminology u dont play wu board,negative
loving music good recommendation someone know stuff,positive
meee penguin wallpaper backround phone computer p ipod touch twitter,neutral
didnt get job stuff magazine dammit would amazing oh well,positive
thx following r band kind genre play nice meet,positive
lol thought pretty funny,positive
sing store wont work,neutral
remind get take pic blooming clematis wind storm tomorrow,neutral
grew fat today gss hxc saw full house chanel jc pedder red ferragamo great economic downturn,positive
think hayfever sure due wearing next nothing horrific weather wed,negative
gonna watch jt snl tonight fan music think he hilarious pant way funny,positive
ur going get tired hearing saw preview ur movie year one funny yeah,negative
excited visited twin best friend dinner star gazing movie cool httpgykdnet,positive
sorry disappoint,negative
dont think ive ever tierd lifeughgoodnightso sleeping tomorrow,neutral
sigh metal friend keep planning stuff sunday afternoon im work feeling like im losing touch,neutral
finally able get flight control ipod best game app chopper lol,positive
hey hey hey lol,positive
found schoolmate died heart attack morning barely miss u bally,positive
massive morning im stuffed,neutral
used ozzy osbourne pillow mom threw miss thing,neutral
looking forward next week math geography english french exam totalling hour,neutral
besides havent strep like year reason im tired anything else,negative
college work suck much,positive
tip someone made flight control,neutral
realizing dont school today tomorrow next month really need get job application,positive
jane austen book pride prejudice emma great also northanger abbey,positive
live new york saturday night finally new one,positive
gah macbook pro getting frickin hot sitting table nothing,positive
managed breathe since getting news,neutral
gorgeous day hash around waterley bottom wonderful name village quiz mistressing porto evening,positive
deplurk gah need concentrate jap visit httpjynxedpandacom site time heh httpplurkcomprrly,neutral
aaaaw window open,neutral
head thumping,neutral
get tonight httpbitlyqxxhi bridesmaid mom bride rockin reception,neutral
writing researching tired foolish im educating moving forward gonna marry white boy right,negative
thats cuz youre cruising twitter nightshift,neutral
mahalo great show aloha thx makin kauai enjoyed safe trip,positive
course id send dont think would survive trip,neutral
havnt gotten month ex seems dating isnt spark anymore still love loser left,positive
least doesnt try violently hump like female dog,negative
absolutely nothin,positive
academically course miss already,neutral
aye want cheesecake,neutral
thank ive anxiety issue year think make first couple day fine,positive
sitting chevy dealership utah waiting van fixed,positive
u dissappointed past day,negative
happy mother day twitter mom including,positive
gmorning ooh giirll monday,neutral
pancake always end soggy,neutral
def anyone leaf room second follow he really great dog otherwise far,positive
saying past week miss playing spade drinkin chillin good old day let know baby,positive
usually choice lucky food love generally healthy except ice cream,positive
email miley want write cant,neutral
dont wanna miss laker game tonight im sad,negative
hey old writing avoidance write continuous flow non stop minstrick use loosen gremlin,positive
freeagentapp free trial ran today cannot subscribe abby accidentally canceled card still waiting new one,positive
site first date macris deli closed lunching favorite local greek spot trojan horse instead,positive
nd cant get fast enough,positive
home jack cant say im happy either,positive
httptwitpiccomn dont like,neutral
hey saw snl nitei loved especially crumpin scene crumpin dub wow hilarious,positive
trying sleep without pill working wide awake late take ill sleep til pm,negative
mind calm heart happy life good would ok took breath away,positive
oh forgot weighed dr highest weight ever,neutral
party moved next weekend stupid weather,negative
think would good radio dji like awesome music great personality,positive
wow ive officially lost faith britain look like wish werent met sadly,negative
well hit seeit depends,neutral
layenn downuughh dunt feel well,neutral
want ice cream expensive,negative
stuck stupid jeuno flag wish windy fishing,negative
joeys getting new lizard fun x,positive
need restful weekend work instead,neutral
home invader taken base,negative
cool wonder didnt sleep much,positive
neil picked show tailights cause heartless hit run,neutral
chowder,neutral
yeah realise organiser dun let performing artistdjs drink stage tight malaysian law n rule,negative
im exhausted new song one day myspace check httpwwwmyspacecomtannajoy,negative
ipod taken last breath im truly devastated lost public transportation companion,neutral
saw baby blue regal word slab written huge letter side hahaaaa,positive
go pick roomate airportno house,neutral
weekend dont think ill making michigan wonder year,negative
need haircut able pull hair ponytail,positive
yup hack fun here quick video made ill follow done httpbitlyxmd,positive
yay mom bought sakura bodyshop lotion,neutral
sometimes feel pathetic going bed early oh well totally get clam chowder tomorrow,negative
yep youve converted blip great hear lot others suggestion pretty great stuff,positive
well doesnt look fab even say,neutral
ahhhhhhh th birthday cant belive found im seeing yous tonight best present everr,positive
oh dear u serious one prevent bite im itchy distracting editing sigh,negative
really really bored guess go bed,negative
whats follow friday lol,positive
happy mother day,positive
party awesome soooo tired bye p happy momma day,positive
say im find hurtful,neutral
foot hurtfinally bedwill forget crunch oververy productive day today though,neutral
okay im listening jonathan coulton working woo,positive
paid bill money,neutral
bye bye edinburgh dont want leave,neutral
got back km run really good,positive
want go see street dream playing anywhere near,positive
happy mother day trying havent nailed teenager tree,positive
hope mom enjoys mother day gift,neutral
lousy landlord need focus kid packing cant nevermind sew sleeping bag,negative
beez im heterochallenged still didnt care milk thought boring,negative
gettin ready put show ugh really hope ppl dont comee,positive
well didnt get call back oh well,neutral
navarro wish area offered chinese food delivery,neutral
wow,positive
yes,neutral
drinking really nice coffee got go dentist morning,positive
first day new job yeah,positive
ahahaha happens time poor angela,negative
stoked spring amazing wild food nature abundantbless,positive
lakers baby lakers ill miss game tmwr work youll keep posted please,negative
aww ya showing u mum proud kid let everyone know,positive
next movie terminator salvation transformer gonna meka spring year,neutral
cant studyyyyyyyyyyyyyyyyyyyyyyyyy exam tom,neutral
eh shut freeway omw job interview guess im gonna late,negative
sorry change plan revision monday exam park one friend,negative
supernatural pm ten counting,positive
pug woke incredible sleep,positive
really really bored bad wont news thats ok brb x,negative
going texas day eeekkkk,neutral
really laughing loud seeing limo front macdonalds funny,positive
fun wish mum happy mother day u,positive
apparently good brazillians tho,positive
glad could make,positive
make sad,negative
bummer tomorrow friday,neutral
presentation finished busted ankle stupido model broke catwalk twice fell hole beautiful bottle green mary janes,positive
decided study finger throat making gaging noise hate mf,negative
munderday like,neutral
bos shes moving nyc,neutral
booi thought list meant would good go look like ill get cf adapter dslr,positive
told u tried said late cause girl took ever get ready wanted meet,negative
bro martin need repent pam said going get meet last wknd,neutral
know funny thing everyone packing e packing go mexico e,positive
im hang fone getting hot,positive
new landlord called cant move tomorrow morning way rain parade,negative
tell friend tie railing expect tweet tomorrow headache feeling tired,negative
go one n smirker cheer dave aka jak aka best chest ever httpblipfmjjcc,positive
apperently ea know copy sims legit upset,neutral
worry noone got one next question start minute get thinking cap,neutral
thx sharing,neutral
oh ffs dont get paid till monday sorry william gonna wait till next weekend till give,negative
cheeseburger,neutral
raining pouringwhere spooning buddy,neutral
look like another sober weekend ahead,positive
hey glad friday happy ate bad apple,positive
watching cartoon havent year eating breakfast program changed,neutral
still pic sad,negative
pshh dont,neutral
gah buddy k must hang person right miss along parker mcphee,positive
would like swapim sitting grumpies,neutral
going bed night,neutral
smores plus jacuzzi equal amazing,positive
yay giant headache stupid glass,negative
sad thing wanted work year dream job crushed saw crappy still bitter,negative
leg broke waiting untile go,neutral
shooould sleeping already got caught watching late night roseanne officially bed next episode,negative
rarely dye red first aaaagggessss hair hate,negative
bored work,negative
put neighborhood little one like runner got st place okay time happy,positive
totally gutted decided go tonight roni size djing,neutral
agreed take little find way stocktwits cant imagine working wo,negative
ok cause one orange still open whew scared sorry one closed,negative
walk school two welt thigh,neutral
bff chrissy glad got dog lol stomatch hurt,positive
next thing tomorrow morning temperature check gonna routine till swine flu dy good night everyone,positive
good morning rock star nurse,positive
ooooh headache got go work,neutral
mom calling hospice great gpa matter time god know,positive
moral support student,neutral
heart girl let hang soon,neutral
flat sparkling clean thats team work way pick food,positive
think bicycle freaked custodian wouldnt let building didnt let key,neutral
didnt make challenge,neutral
started using branch,neutral
oh dear selected worst bit highlight soprano guy,negative
love fatty take away night yummy coming home facespacing roomy,positive
following week would better ill gone next week,neutral
im boredddd day gone quick dont like,positive
im sorry lol never like actual time spend unfortunately everythings always insane go,negative
haha loser ily,positive
mtv movie award go vote stat,neutral
hey thanks mate cool coz watched,positive
there many thing better sleeping window open,positive
httptwitpiccomjcfg cycle within quarry shipley glen near baildon moor heading back wood,positive
booya sup tweeps happy infamous day get soon cant wait play need find time though,positive
im going schooljoy ive got go bye,neutral
actually meant type end september middle conversation someone cant multitask,neutral
whats spilling everything,neutral
give link kimba diary please,neutral
glad t brought sorry ur foot shortyur gonna relax wit heel,neutral
thank dedication lamb unparalleled also true lamb dedication unparalleled,positive
placed bet sure thing lost betting,positive
great chat friend he totally putting mind ease,positive
first ever dropped call mobile call less charged data even though data pack,positive
slept hr body aching,neutral
homey missed da bus,neutral
thats lot mango haha baka naglilihi ka ahh haha joke lang carmen,positive
fam back big island said vog bad cant see ocean sad,negative
whole day planned mom today know love,positive
ugh cant sleep reallyy gettin gahif piss bad sometimes atleast know friend,negative
wont let vote even tho im signed,neutral
morning peep need get know ill around httpblipfmjtyh,negative
realize solid better fullpage ajc,positive
feeling nice got big smile face reason take sleep right lol,positive
hong kong great crazy english name friend work miss chewbacca leung,positive
whats going,neutral
augh fever gone end missing weho clubbing tomorrow night going pissed stupid boytoy gave plague,negative
amazing best time hope good weekend,positive
meeting went well last nightthey shot promo air weekend mtv tried hide close think caught,neutral
bon voyage birthday brother mccarran cyah vega july havent slept yet class fun weekend,positive
twitter upload icon picture hate eff ill upload later,negative
there point bein one else,neutral
want see tonight know gonna happen,neutral
went dmv todaysome thing never change,neutral
happy mother day mi mother thanks whatever,positive
wow r watching outsider smelly english,positive
io psy im taking psy starting monday looking forward going back school,neutral
niceid like therebut far im brazil kiss nice day,positive
good day good friend make regret living,positive
tell zach jer said happy birthday seem like cool brother youre lucky haha,positive
hey sorry didnt get touch sooner didnt go bologna way,negative
ohh noo joshua im sooo sorry im really sorry didnt get see please forgive im sorry,negative
youre going,neutral
fair want sticker moved away london,positive
think start david archuleta might throw glitter aha,neutral
headed back pulaski,neutral
wtf pogs back,negative
finally plugged listen flashpoint httpwwwkpfaorg shoutout missed segment chevron,neutral
way saw u ellen yesterday late comparing usa u awesome,positive
never made gym blowout sans thong wearing company phew bummer missing workout,negative
early actually going back little rest talk little later,negative
oh kindergarten teacher died mr collinson always remembered every student ever loved lady,positive
welcome dk jaoo,positive
well sound like sum kid match lit sum grass fire,positive
saw trailer batman arkham asylum play joker thats p exclusive hurt,neutral
thanks recommendation,positive
im lookin email man photo spray painting wroclawpoland kosmo httpbitlyeovvn,neutral
cold getting chill,negative
two dozen rose sent overnight delivered morning found recipient town sad,positive
blame goose gotcha feelin loose blame tron gotcha zone michellethis fault lol,positive
oops would edaust,neutral
regrettin decision made,neutral
thats true unfortunately lead movie dont die high note friday th model,positive
omg tragic,negative
getting ready work think im catching cold yay gotta pull hour shift holla ya sometime tomorrow peace,positive
seems like win win situation,positive
thought pretty good im die hard trekkie either,positive
club wished could last night sound like rocking cant wait see pix vids,positive
missed hello kitty enough time oh well,neutral
erica yea tough keep going sometimes im sure worth,positive
nothing sitting see mr p husband,neutral
keep suggestion comingi love classic,positive
dane cook sport arena tonight wish ticket,neutral
working technology love waz,positive
honored tweet ya,neutral
thats bad start day,negative
want work tomorrow,neutral
work mad blocking site fun arent blocking facebook twitter youtube,negative
piyaaa hi im hyper im bored im online im going find picture noteboook still cant send message grr,negative
great day yesterday good win forest celebratory staying drink trip unsuccesful bbq stella scream,positive
goodnight,neutral
aw poor u dont let get u ignore n keep ur head held high iz immature lil girl lol,positive
sitting around alltired,neutral
sad got plan cancled,negative
stop making assumption dont even know haha stupid thanks defending matthew,negative
hate costco always cost u much money,negative
wtf come need day go,negative
try pretty hard engage everyone follow lack interesting say end unfollowed,positive
yep suck thought somewhere said,neutral
nice action shot httpbitlymzfx miss working pole dont see client everyday lol,positive
rah rah youtube isnt working oh great,positive
mean youre leaving,negative
got back doctor dont need surgery yayyy knee still gonna get better,positive
finally picked handwraps struggling wrap stronger hand defo got lot sooner though,neutral
best could proof crack lol httptwitpiccomust,positive
goodness gracious chair broke,neutral
haha phew ive never said,positive
open office writer weird need word open word document correctly,negative
dizzy wanna lie die calorie arent gonna balk ignore,neutral
egg today shame looking forward egg bacon sandwich,neutral
nah understand cant cancel wanted come,neutral
haha love hmm lol im need good band,positive
professional,positive
gonna laundrynever laundry hotel beforei miss reven though ignore even check,neutral
hungry agaaaaaaiiiin maaaam,neutral
may th happy star war day,positive
nan house eating fish chip watching top gear good time,positive
found running lil behind,negative
nothing like waking slow morning doc appt today,negative
airport waiting,neutral
week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces starting emerge hand ouch,negative
disappointed learn newark oh cancelled july firework due economy,negative
wish,neutral
well bell hook teaching transgress sometimes miss teaching messing bad system,negative
voc que sumiu forever msn,neutral
im watching moment sigh straightening hair take hour hair curly,neutral
thanks forever curse make spend hour everytime go couldnt go tanning today,positive
wow see mrb obsession,positive
wish va,neutral
itttt,neutral
excited see samanthadenise httpplurkcomprrid,positive
dont think would happy,positive
twee haha thanks thats new word week,positive
haha im philippine want follow,positive
truss failing httpyfrogcomupj,neutral
ia much havent really happy cook choice single,positive
sad fitness center reopens zumba class anymore found today last class closure,negative
romantici hope amazing timeand paparazzo dont follow youyou need privacy doug xoxo,positive
